code;name;country
13212431;Brava Premier;Cabo Verde
13212432;Fogo Premier;Cabo Verde
13212433;Maio Premier;Cabo Verde
13212434;Sal Premier;Cabo Verde
13212435;Santiago (S) Premier;Cabo Verde
13212436;Santiago (N) Premier;Cabo Verde
13212437;Santo Antão (S) Premier;Cabo Verde
13212438;Santo Antão (N) Premier;Cabo Verde
13212478;São Nicolau Premier;Cabo Verde
13212479;São Vicente Premier;Cabo Verde
13214091;São Tomé  Division 1;Sao Tome and Principe
13214092;Príncipe Division 1;Sao Tome and Principe
13219623;First Division - Zone 1;Ghana
13219624;First Division - Zone 2;Ghana
13219625;First Division - Zone 3;Ghana
13220908;Sudanese Lower Division;Sudan
13220909;Tunisian Lower Division;Tunisia
13220910;Lower Division;Algeria
13221306;1. Insular;Equatorial Guinea
13221307;1. Continental;Equatorial Guinea
13228126;Second Division;Morocco
14037258;Fourth Division AFA;Argentina
14037261;Fourth Division non AFA;Argentina
14037262;Fifth Division AFA;Argentina
14037263;Fifth Division non AFA;Argentina
15004635;Lower Leagues;Australia
15007722;NPL - NNSW;Australia
15020175;NPL - Victoria 2;Australia
15020803;NPL 2 NSW;Australia
15022116;Vic State League 1 NW;Australia
15022468;Vic State League 1SE;Australia
15025121;WA State League Div 1;Australia
15025122;WA State League Div 2;Australia
15025400;Premier League;Australia
15038565;NPL Tasmania;Australia
15041741;Premier League;Australia
15041771;NPL Queensland;Australia
15042155;Northen League One;Australia
15044448;GNE Regional PL;Australia
15045003;NPL South Australia;Australia
15045004;SA - State League 1;Australia
15045005;Capital League 1;Australia
15045546;NPL - NSW 3;Australia
15047997;Premier League;Australia
15052001;Vic SL 2NW;Australia
15052002;Vic SL 2 SE;Australia
15052003;Vic SL 3NW;Australia
15052004;VIC SL 3SE;Australia
15053067;SC Premier League;Australia
15053086;League 2;Australia
15053095;League 3;Australia
15053102;FNQ Premier League;Australia
15053174;Three Cities League;Australia
15053810;NQ Premier League;Australia
15058650;Soccer League;Australia
15060171;AWFA League;Australia
15060240;Bendigo Amateur SL;Australia
15063498;Vic State League 4 North;Australia
15063499;Vic State League 4 West;Australia
15063500;Vic State League 4 South;Australia
15063501;Vic State League 4 East;Australia
15063503;Vic State League 5 North;Australia
15063504;Vic State League 5 West;Australia
15063505;Vic State League 5 South;Australia
15063506;Vic State League 5 East;Australia
15063628;Limestone Coast FA;Australia
15064449;WA Amateur Premier Div.;Australia
15066129;District League;Australia
15070320;Premier League;Australia
15073100;Gold Coast 1;Australia
15077565;SA - State League 2;Australia
15083847;Premier League;Australia
15088302;NPL 2 ACT;Australia
15090908;NPL - Victoria 3;Australia
15090961;NPL - NSW 4;Australia
16000658;Vorarlberg-Liga;Austria
16000659;Steierische LL;Austria
16000660;Kärntner Liga;Austria
16000661;Wiener Stadtliga;Austria
16000662;1. NÖN Landesliga;Austria
16000663;Upper Austria LL;Austria
16000665;Tiroler Landesliga;Austria
16000666;Burgenlandliga;Austria
16036167;2.NÖ Landesliga West;Austria
16036168;2.Landesliga Ost;Austria
16036172;II. Liga North (B);Austria
16036173;II. Liga Central (B);Austria
16036174;II. Liga South (B);Austria
16036176;Oberliga Central West;Austria
16036177;Oberliga South;Austria
16036178;Oberliga North;Austria
16036185;Unterliga West;Austria
16036186;Unterliga East;Austria
16036196;Landesliga East (OÖ);Austria
16036197;Landesliga West (OÖ);Austria
16036202;Landesliga East (T);Austria
16036203;Landesliga West (T);Austria
16036206;Landesliga Vorarlberg;Austria
16053609;1.Klasse North (S);Austria
16053612;1.Klasse South (S);Austria
16057917;2.Landesliga North (S);Austria
16057918;2.Landesliga South (S);Austria
