code;value
;Adjapong
;Adjeh Sowah
;Adjet
;Adjoev
;Adler
;Adli
;Adlung
;Admilton
;Admonio
;Adomah
;Adorante
;Adorján
;Adorni
;Adou
;Adouyev
;Adri
;Adrián
;Adrianinho
;Apodi
;Fachini
;Garça
;Lara
;Louzada
;Adriel
;Adrien
;Adryan
;Adryelson
;Adson
;Adu
;Aduriz
;Advíncula
;Adzic
;Aebischer
;Aegerter
;Aelson
;Aerts
;Afanasjev
;Afellay
;Affolter
;Affranchino
;Afful
;Afif
;Afobe
;Afolabi
;Afonin
;Afougou
;Afsarli
;Aga
;Agalarov
;Aganovic
;Agard
;Agardius
;Agazzi
;Agbaljan
;Agbenyenu
;Agblemagnon
;Agbo
;Agçay
;Agdon
;Agenor
;Ager
;Aghayere
;Agirrezabala
;Agliardi
;Agnaldo
;Agnelli
;Agnello
;Agoney
;Agorreca
;Agost
;Agostinone
;Agosto
;Agouazi
;Agounon
;Agra
;Agrafiotis
;Agrelos
;Agu
;Aguado
;Águas
;Aguayo
;Agudelo
;Agudiak
;Agudo
;Aguemon
;Agüero
;Aguerre
;Aguiar
;Aguilar
;Aguilera
;Aguimcer
;Aguiñaga
;Aguirre
;Aguirregabiría
;Agustín
;Agustinoy
;Aguza
;Agyei
;Agyepong
;Agyiri
;Ahamada
;Ahannach
;Ahidar
;Ahlschwede
;Ahmedov
;Ahmetaj
;Aho
;Aholou
;Ahrend
;Ahumada Acuña
;Ahumada
;Aidoo
;Aidoud
;Aigner
;Aigouy
;Aílton
;Aimar
;Aimson
;Aina
;Ainley
;Ainscough
;Ainsworth
;Airaghi
;Airapetyan
;Aird
;Airton
;Aírton
;Aislan
;Aissati
;Aissi Kédé
;Aït Bennasser
;Aït Bouhou
;Aitchison
;Aït-Fana
;Ait-Malek
;Aitor
;Aiyegbusi
;Aizpiri
;Aizpun
;Aja
;Ajagun
;Ajani
;Ajayi
;Ajdini
;Ajdukovic
;Ajeakwa
;Ajer
;Ajeti
;Ajnane
;Ajorque
;Ajose
;Ajroudi
;Akakpo
;Akale
;Akan
;Akanji
;Akapo
;Akarslan
;Akbaba
;Akbas
;Akbashev
;Akbay
;Akbunar
;Akça
;Akçakin
;Akçam
;Akçay
;Akdag
;Akdari
;Akdemir
;Akdeniz
;Aké
;Akeb-Daoud
;Akel
;Akerman
;Aketxe
;Akgöz
;Akgün
;Akhamrane
;Akhjadov
;Akhmetov
;Akichi
;Akieme
;Akin
;Akinay
;Akinde
;Akindele
;Akinfeev
;Akinfenwa
;Akinola
;Akins
;Akinyode
;Akkan
;Akkas
;Akkaynak
;Akmurzin
;Ako
;Akoh
;Akolo
;Akoto
;Akouokou
;Akpa Akpro
;Akpala
;Akpan
;Akpinar
;Akpobire
;Akpoguma
;Akpom
;Akrong
;Akrour
;Aksoy
;Aksu
;Aktaou
;Aktas
;Aktav
;Aktay
;Akueson
;Akyel
;Akyer
;Akyol
;Akyörük
;Akyüz
;Al Badaoui
;Al Ghaddioui
;Al Musrati
;Al Obadie
;Al Watani
;Alaba
;Alabi
;Alaeddinoglu
;Alaffita
;Alagna
;Alagöz
;Alain
;Alakouch
;Álamo
;Alan
;Carius
;Empereur
;Fabrício
;Faria
;Fialho
;Kardec
;Ruschel
;Schons
;Alanís
;Alaniz
;Alanzinho
;Alarcón
;Alari
;Alario
;Alashe
;Alasia
;Alastra
;Alawie
